status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	iECNA114_1301	Escherichia coli NA114	map00020	rn00020	Citrate cycle (TCA cycle)	2718	1927	1301	2718	1927	29	20	0		23	6	79.31	13	7	65.0	158	23	171	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECNA114_1301\iECNA114_1301_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECNA114_1301\iECNA114_1301_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iECNA114_1301\summary.json	outputs\bigg_prokaryote_bioemma\models\iECNA114_1301.xml	1.484	
built	iECNA114_1301	Escherichia coli NA114	map00030	rn00030	Pentose phosphate pathway	2718	1927	1301	2718	1927	58	37	1	R06837	34	24	58.62	26	11	70.27	206	34	217	0	73	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iECNA114_1301\iECNA114_1301_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECNA114_1301\iECNA114_1301_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iECNA114_1301\summary.json	outputs\bigg_prokaryote_bioemma\models\iECNA114_1301.xml	2.007	
built	iECNA114_1301	Escherichia coli NA114	map00680	rn00680	Methane metabolism / C1 metabolism	2718	1927	1301	2718	1927	104	86	3	R08323, R08328, R10397	32	72	30.77	36	50	41.86	239	32	229	0	96	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iECNA114_1301\iECNA114_1301_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECNA114_1301\iECNA114_1301_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iECNA114_1301\summary.json	outputs\bigg_prokaryote_bioemma\models\iECNA114_1301.xml	3.101	
built	iECO103_1326	Escherichia coli O103:H2 str. 12009	map00010	rn00010	Glycolysis / gluconeogenesis	2758	1958	1327	2758	1958	56	31	0		41	15	73.21	21	10	67.74	277	41	292	0	123	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO103_1326\iECO103_1326_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO103_1326\iECO103_1326_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO103_1326\summary.json	outputs\bigg_prokaryote_bioemma\models\iECO103_1326.xml	2.072	
built	iECO103_1326	Escherichia coli O103:H2 str. 12009	map00020	rn00020	Citrate cycle (TCA cycle)	2758	1958	1327	2758	1958	29	20	0		23	6	79.31	13	7	65.0	158	23	171	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO103_1326\iECO103_1326_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO103_1326\iECO103_1326_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO103_1326\summary.json	outputs\bigg_prokaryote_bioemma\models\iECO103_1326.xml	1.486	
built	iECO103_1326	Escherichia coli O103:H2 str. 12009	map00030	rn00030	Pentose phosphate pathway	2758	1958	1327	2758	1958	58	37	1	R06837	34	24	58.62	26	11	70.27	206	34	217	0	73	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO103_1326\iECO103_1326_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO103_1326\iECO103_1326_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO103_1326\summary.json	outputs\bigg_prokaryote_bioemma\models\iECO103_1326.xml	1.998	
built	iECO103_1326	Escherichia coli O103:H2 str. 12009	map00680	rn00680	Methane metabolism / C1 metabolism	2758	1958	1327	2758	1958	104	86	3	R08323, R08328, R10397	32	72	30.77	36	50	41.86	239	32	229	0	96	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO103_1326\iECO103_1326_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO103_1326\iECO103_1326_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO103_1326\summary.json	outputs\bigg_prokaryote_bioemma\models\iECO103_1326.xml	3.482	
built	iECO111_1330	Escherichia coli O111:H- str. 11128	map00010	rn00010	Glycolysis / gluconeogenesis	2760	1959	1328	2760	1959	56	31	0		41	15	73.21	22	9	70.97	277	41	292	0	123	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO111_1330\iECO111_1330_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO111_1330\iECO111_1330_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO111_1330\summary.json	outputs\bigg_prokaryote_bioemma\models\iECO111_1330.xml	1.916	
built	iECO111_1330	Escherichia coli O111:H- str. 11128	map00020	rn00020	Citrate cycle (TCA cycle)	2760	1959	1328	2760	1959	29	20	0		23	6	79.31	13	7	65.0	158	23	171	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO111_1330\iECO111_1330_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO111_1330\iECO111_1330_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO111_1330\summary.json	outputs\bigg_prokaryote_bioemma\models\iECO111_1330.xml	1.462	
built	iECO111_1330	Escherichia coli O111:H- str. 11128	map00030	rn00030	Pentose phosphate pathway	2760	1959	1328	2760	1959	58	37	1	R06837	34	24	58.62	26	11	70.27	206	34	217	0	73	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO111_1330\iECO111_1330_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO111_1330\iECO111_1330_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO111_1330\summary.json	outputs\bigg_prokaryote_bioemma\models\iECO111_1330.xml	1.982	
