pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00030	rn00030	Pentose phosphate pathway	iSDY_1059	Shigella dysenteriae Sd197	built	2539	1888	58	R06837	32	26	55.17	26	11	70.27	results\prokaryote_maps\maps\map00030\iSDY_1059\iSDY_1059_map00030_map.json	results\prokaryote_maps\maps\map00030\iSDY_1059\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iSDY_1059	Shigella dysenteriae Sd197	built	2539	1888	104	R08323, R08328, R10397	30	74	28.85	36	50	41.86	results\prokaryote_maps\maps\map00680\iSDY_1059\iSDY_1059_map00680_map.json	results\prokaryote_maps\maps\map00680\iSDY_1059\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iSF_1195	Shigella flexneri 2a str. 301	built	2630	1917	56		39	17	69.64	21	10	67.74	results\prokaryote_maps\maps\map00010\iSF_1195\iSF_1195_map00010_map.json	results\prokaryote_maps\maps\map00010\iSF_1195\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iSF_1195	Shigella flexneri 2a str. 301	built	2630	1917	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iSF_1195\iSF_1195_map00020_map.json	results\prokaryote_maps\maps\map00020\iSF_1195\summary.json
map00030	rn00030	Pentose phosphate pathway	iSF_1195	Shigella flexneri 2a str. 301	built	2630	1917	58	R06837	33	25	56.9	26	11	70.27	results\prokaryote_maps\maps\map00030\iSF_1195\iSF_1195_map00030_map.json	results\prokaryote_maps\maps\map00030\iSF_1195\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iSF_1195	Shigella flexneri 2a str. 301	built	2630	1917	104	R08323, R08328, R10397	30	74	28.85	35	51	40.7	results\prokaryote_maps\maps\map00680\iSF_1195\iSF_1195_map00680_map.json	results\prokaryote_maps\maps\map00680\iSF_1195\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iSFV_1184	Shigella flexneri 5 str. 8401	built	2621	1917	56		41	15	73.21	21	10	67.74	results\prokaryote_maps\maps\map00010\iSFV_1184\iSFV_1184_map00010_map.json	results\prokaryote_maps\maps\map00010\iSFV_1184\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iSFV_1184	Shigella flexneri 5 str. 8401	built	2621	1917	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iSFV_1184\iSFV_1184_map00020_map.json	results\prokaryote_maps\maps\map00020\iSFV_1184\summary.json
map00030	rn00030	Pentose phosphate pathway	iSFV_1184	Shigella flexneri 5 str. 8401	built	2621	1917	58	R06837	33	25	56.9	26	11	70.27	results\prokaryote_maps\maps\map00030\iSFV_1184\iSFV_1184_map00030_map.json	results\prokaryote_maps\maps\map00030\iSFV_1184\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iSFV_1184	Shigella flexneri 5 str. 8401	built	2621	1917	104	R08323, R08328, R10397	31	73	29.81	36	50	41.86	results\prokaryote_maps\maps\map00680\iSFV_1184\iSFV_1184_map00680_map.json	results\prokaryote_maps\maps\map00680\iSFV_1184\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iSFxv_1172	Shigella flexneri 2002017	built	2638	1918	56		37	19	66.07	21	10	67.74	results\prokaryote_maps\maps\map00010\iSFxv_1172\iSFxv_1172_map00010_map.json	results\prokaryote_maps\maps\map00010\iSFxv_1172\summary.json
