pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1344_C	Escherichia coli C	built	2726	1934	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1344_C\iEC1344_C_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1344_C\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC1344_C	Escherichia coli C	built	2726	1934	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1344_C\iEC1344_C_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1344_C\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC1344_C	Escherichia coli C	built	2726	1934	104	R08323, R08328, R10397	31	73	29.81	37	49	43.02	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1344_C\iEC1344_C_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1344_C\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1349_Crooks	Escherichia coli ATCC 8739	built	2756	1946	56		40	16	71.43	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1349_Crooks\iEC1349_Crooks_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1349_Crooks\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1349_Crooks	Escherichia coli ATCC 8739	built	2756	1946	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1349_Crooks\iEC1349_Crooks_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1349_Crooks\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC1349_Crooks	Escherichia coli ATCC 8739	built	2756	1946	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1349_Crooks\iEC1349_Crooks_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1349_Crooks\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC1349_Crooks	Escherichia coli ATCC 8739	built	2756	1946	104	R08323, R08328, R10397	32	72	30.77	37	49	43.02	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1349_Crooks\iEC1349_Crooks_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1349_Crooks\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	built	2740	1918	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1356_Bl21DE3\iEC1356_Bl21DE3_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1356_Bl21DE3\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	built	2740	1918	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1356_Bl21DE3\iEC1356_Bl21DE3_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1356_Bl21DE3\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	built	2740	1918	58	R06837	33	25	56.9	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1356_Bl21DE3\iEC1356_Bl21DE3_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1356_Bl21DE3\summary.json
