pathway	pathway_rn	pathway_label	model_id	organism	reaction_count	reaction_set	status	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	ic_1306	Escherichia coli CFT073	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\ic_1306\ic_1306_map00010_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF1260	Escherichia coli str. K-12 substr. MG1655	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iAF1260\iAF1260_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF1260b	Escherichia coli str. K-12 substr. MG1655	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iAF1260b\iAF1260b_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAPECO1_1312	Escherichia coli APEC O1	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iAPECO1_1312\iAPECO1_1312_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iB21_1397	Escherichia coli BL21(DE3)	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iB21_1397\iB21_1397_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iBWG_1329	Escherichia coli BW2952	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iBWG_1329\iBWG_1329_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iE2348C_1286\iE2348C_1286_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC042_1314	Escherichia coli 042	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC042_1314\iEC042_1314_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1344_C	Escherichia coli C	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC1344_C\iEC1344_C_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1349_Crooks	Escherichia coli ATCC 8739	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC1349_Crooks\iEC1349_Crooks_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC1356_Bl21DE3\iEC1356_Bl21DE3_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1364_W	Escherichia coli W	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC1364_W\iEC1364_W_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1368_DH5a	Escherichia coli DH5[alpha]	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC1368_DH5a\iEC1368_DH5a_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC1372_W3110\iEC1372_W3110_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC55989_1330	Escherichia coli 55989	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEC55989_1330\iEC55989_1330_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECABU_c1320	Escherichia coli ABU 83972	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECABU_c1320\iECABU_c1320_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECBD_1354\iECBD_1354_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECB_1328	Escherichia coli B str. REL606	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECB_1328\iECB_1328_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECDH10B_1368\iECDH10B_1368_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECDH1ME8569_1439	Escherichia coli DH1	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECDH1ME8569_1439\iECDH1ME8569_1439_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECD_1391	Escherichia coli BL21(DE3)	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECD_1391\iECD_1391_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECED1_1282	Escherichia coli ED1a	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECED1_1282\iECED1_1282_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECH74115_1262\iECH74115_1262_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECIAI1_1343	Escherichia coli IAI1	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECIAI1_1343\iECIAI1_1343_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECIAI39_1322	Escherichia coli IAI39	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECIAI39_1322\iECIAI39_1322_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECNA114_1301	Escherichia coli NA114	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECNA114_1301\iECNA114_1301_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECO103_1326	Escherichia coli O103:H2 str. 12009	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECO103_1326\iECO103_1326_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECO111_1330	Escherichia coli O111:H- str. 11128	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECO111_1330\iECO111_1330_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECO26_1355	Escherichia coli O26:H11 str. 11368	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECO26_1355\iECO26_1355_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECOK1_1307	Escherichia coli IHE3034	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECOK1_1307\iECOK1_1307_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECP_1309	Escherichia coli 536	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECP_1309\iECP_1309_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECS88_1305	Escherichia coli S88	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECS88_1305\iECS88_1305_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECSE_1348	Escherichia coli SE11	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECSE_1348\iECSE_1348_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECSF_1327	Escherichia coli SE15	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECSF_1327\iECSF_1327_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECSP_1301	Escherichia coli O157:H7 str. TW14359	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECSP_1301\iECSP_1301_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECUMN_1333	Escherichia coli UMN026	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECUMN_1333\iECUMN_1333_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECW_1372	Escherichia coli W	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECW_1372\iECW_1372_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECs_1301	Escherichia coli O157:H7 str. Sakai	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iECs_1301\iECs_1301_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEKO11_1354	Escherichia coli KO11FL	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iEKO11_1354\iEKO11_1354_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iETEC_1333	Escherichia coli ETEC H10407	7	R00341|R00342|R00351|R00405|R01082|R01325|R01900	ok	results\prokaryote_maps\maps\map00020\iETEC_1333\iETEC_1333_map00020_map.json
