status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	iECIAI1_1343	Escherichia coli IAI1	map00010	rn00010	Glycolysis / gluconeogenesis	2765	1968	1343	2765	1968	56	31	0		15	41	26.79	22	9	70.97	105	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iECIAI1_1343\iECIAI1_1343_map00010_map.json	results\prokaryote_maps\maps\map00010\iECIAI1_1343\iECIAI1_1343_map00010_map.html	results\prokaryote_maps\maps\map00010\iECIAI1_1343\summary.json	http://bigg.ucsd.edu/static/models/iECIAI1_1343.xml	2.011	
built	iECIAI1_1343	Escherichia coli IAI1	map00020	rn00020	Citrate cycle (TCA cycle)	2765	1968	1343	2765	1968	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iECIAI1_1343\iECIAI1_1343_map00020_map.json	results\prokaryote_maps\maps\map00020\iECIAI1_1343\iECIAI1_1343_map00020_map.html	results\prokaryote_maps\maps\map00020\iECIAI1_1343\summary.json	http://bigg.ucsd.edu/static/models/iECIAI1_1343.xml	1.336	
built	iECIAI1_1343	Escherichia coli IAI1	map00030	rn00030	Pentose phosphate pathway	2765	1968	1343	2765	1968	58	37	1	R06837	21	37	36.21	26	11	70.27	122	21	122	0	33	0	results\prokaryote_maps\maps\map00030\iECIAI1_1343\iECIAI1_1343_map00030_map.json	results\prokaryote_maps\maps\map00030\iECIAI1_1343\iECIAI1_1343_map00030_map.html	results\prokaryote_maps\maps\map00030\iECIAI1_1343\summary.json	http://bigg.ucsd.edu/static/models/iECIAI1_1343.xml	1.812	
built	iECIAI1_1343	Escherichia coli IAI1	map00680	rn00680	Methane metabolism / C1 metabolism	2765	1968	1343	2765	1968	104	86	3	R08323, R08328, R10397	21	83	20.19	36	50	41.86	147	21	135	0	48	0	results\prokaryote_maps\maps\map00680\iECIAI1_1343\iECIAI1_1343_map00680_map.json	results\prokaryote_maps\maps\map00680\iECIAI1_1343\iECIAI1_1343_map00680_map.html	results\prokaryote_maps\maps\map00680\iECIAI1_1343\summary.json	http://bigg.ucsd.edu/static/models/iECIAI1_1343.xml	2.871	
built	iECIAI39_1322	Escherichia coli IAI39	map00010	rn00010	Glycolysis / gluconeogenesis	2721	1953	1321	2721	1953	56	31	0		15	41	26.79	22	9	70.97	105	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iECIAI39_1322\iECIAI39_1322_map00010_map.json	results\prokaryote_maps\maps\map00010\iECIAI39_1322\iECIAI39_1322_map00010_map.html	results\prokaryote_maps\maps\map00010\iECIAI39_1322\summary.json	http://bigg.ucsd.edu/static/models/iECIAI39_1322.xml	2.055	
built	iECIAI39_1322	Escherichia coli IAI39	map00020	rn00020	Citrate cycle (TCA cycle)	2721	1953	1321	2721	1953	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iECIAI39_1322\iECIAI39_1322_map00020_map.json	results\prokaryote_maps\maps\map00020\iECIAI39_1322\iECIAI39_1322_map00020_map.html	results\prokaryote_maps\maps\map00020\iECIAI39_1322\summary.json	http://bigg.ucsd.edu/static/models/iECIAI39_1322.xml	1.504	
built	iECIAI39_1322	Escherichia coli IAI39	map00030	rn00030	Pentose phosphate pathway	2721	1953	1321	2721	1953	58	37	1	R06837	21	37	36.21	26	11	70.27	122	21	122	0	33	0	results\prokaryote_maps\maps\map00030\iECIAI39_1322\iECIAI39_1322_map00030_map.json	results\prokaryote_maps\maps\map00030\iECIAI39_1322\iECIAI39_1322_map00030_map.html	results\prokaryote_maps\maps\map00030\iECIAI39_1322\summary.json	http://bigg.ucsd.edu/static/models/iECIAI39_1322.xml	1.998	
built	iECIAI39_1322	Escherichia coli IAI39	map00680	rn00680	Methane metabolism / C1 metabolism	2721	1953	1321	2721	1953	104	86	3	R08323, R08328, R10397	21	83	20.19	36	50	41.86	147	21	135	0	48	0	results\prokaryote_maps\maps\map00680\iECIAI39_1322\iECIAI39_1322_map00680_map.json	results\prokaryote_maps\maps\map00680\iECIAI39_1322\iECIAI39_1322_map00680_map.html	results\prokaryote_maps\maps\map00680\iECIAI39_1322\summary.json	http://bigg.ucsd.edu/static/models/iECIAI39_1322.xml	2.967	
built	iECNA114_1301	Escherichia coli NA114	map00010	rn00010	Glycolysis / gluconeogenesis	2718	1927	1301	2718	1927	56	31	0		15	41	26.79	21	10	67.74	104	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iECNA114_1301\iECNA114_1301_map00010_map.json	results\prokaryote_maps\maps\map00010\iECNA114_1301\iECNA114_1301_map00010_map.html	results\prokaryote_maps\maps\map00010\iECNA114_1301\summary.json	http://bigg.ucsd.edu/static/models/iECNA114_1301.xml	1.885	
built	iECNA114_1301	Escherichia coli NA114	map00020	rn00020	Citrate cycle (TCA cycle)	2718	1927	1301	2718	1927	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iECNA114_1301\iECNA114_1301_map00020_map.json	results\prokaryote_maps\maps\map00020\iECNA114_1301\iECNA114_1301_map00020_map.html	results\prokaryote_maps\maps\map00020\iECNA114_1301\summary.json	http://bigg.ucsd.edu/static/models/iECNA114_1301.xml	1.529	
