kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R04186	MNXR148592	1.1.1.111		rxn02924|rxn36748|rxn36749		12040|12041|12042|12043	(S)-3-(imidazol-5-yl)lactate:NADP+ oxidoreductase||(S)-3-(Imidazol-5-yl)lactate + NADP+ <=> Imidazol-5-yl-pyruvate + NADPH + H+||1 keggC:C03817@IN + 1 keggC:C00006@IN <=> 1 keggC:C03277@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	seed(3),rhea(4)
R04187	MNXR191256	2.6.1|2.6.1.18	3AIBT2|R_3AIBT2	rxn39449	RXN-14265	31071|31072|31073|31074	L-alanine:3-oxopropanoate aminotransferase||L-Alanine + (S)-Methylmalonate semialdehyde <=> Pyruvate + L-3-Aminoisobutanoate||1 keggC:C00041@IN + 1 keggC:C06002@IN <=> 1 keggC:C00022@IN + 1 keggC:C03284@IN	bigg(2),rhea(4),ec(2)
R04188	MNXR108721	2.6.1.22	3AIBTm|R_3AIBTm	rxn39450	2.6.1.22-RXN		L-3-amino-isobutanoate:2-oxoglutarate aminotransferase||L-3-Aminoisobutanoate + 2-Oxoglutarate <=> (S)-Methylmalonate semialdehyde + L-Glutamate||1 keggC:C03284@IN + 1 keggC:C00026@IN <=> 1 keggC:C06002@IN + 1 keggC:C00025@IN	ec_fallback(participants>=0.50,bigg:2)
R04189	MNXR104239	2.6.1.69|3.5.3.23	R_SADH|SADH	rxn02927|rxn30059|rxn33723|rxn33730	SUCCARGDIHYDRO-RXN	19533|19534|19535|19536	N2-succinyl-L-arginine iminohydrolase (decarboxylating)||N2-Succinyl-L-arginine + 2 H2O <=> N2-Succinyl-L-ornithine + CO2 + 2 Ammonia||1 keggC:C03296@IN + 2 keggC:C00001@IN <=> 1 keggC:C03415@IN + 1 keggC:C00011@IN + 2 keggC:C00014@IN	bigg(2),seed(4),rhea(4),ec(2)
R04190	MNXR108722	2.1.1.77		rxn06614			S-adenosyl-L-methionine:protein-L-isoaspartate O-methyltransferase||S-Adenosyl-L-methionine + Protein L-isoaspartate <=> S-Adenosyl-L-homocysteine + Protein L-isoaspartate methyl ester||1 keggC:C00019@IN + 1 keggC:C03306@IN <=> 1 keggC:C00021@IN + 1 keggC:C04311@IN	
R04191	MNXR148594	3.1.1.43					alpha-amino-acid-ester aminoacylhydrolase||alpha-Amino acid ester + H2O <=> alpha-Amino acid + Alcohol||1 keggC:C03317@IN + 1 keggC:C00001@IN <=> 1 keggC:C05167@IN + 1 keggC:C00069@IN	
R04192	MNXR108724	2.3.1.108					acetyl-CoA:alpha-tubulin-L-lysine N(epsilon)-acetyltransferase||Acetyl-CoA + [alpha-Tubulin]-L-lysine <=> CoA + [alpha-Tubulin]-N6-acetyl-L-lysine||1 keggC:C00024@IN + 1 keggC:C03318@IN <=> 1 keggC:C00010@IN + 1 keggC:C04149@IN	
R04198	MNXR108727	1.17.1.8	DHDPRx_r|H4THDPR|R_DHDPRx_r|R_H4THDPR	rxn39451		35323|35324|35325|35326	2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase||2,3,4,5-Tetrahydrodipicolinate + NAD+ + H2O <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + NADH + H+||1 keggC:C03972@IN + 1 keggC:C00003@IN + 1 keggC:C00001@IN <=> 1 keggC:C20258@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	rhea(4),ec_fallback(participants>=0.50,bigg:4)
R04199	MNXR148597	1.17.1.8	H4THDPR|R_H4THDPR	rxn39452		35331|35332|35333|35334	2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase||2,3,4,5-Tetrahydrodipicolinate + NADP+ + H2O <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + NADPH + H+||1 keggC:C03972@IN + 1 keggC:C00006@IN + 1 keggC:C00001@IN <=> 1 keggC:C20258@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	bigg(2),rhea(4)
R04200	MNXR148599	1.4.1.12|1.4.1.26		rxn02930|rxn35675	RXN-18499	24196|24197|24198|24199	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase (deaminating)||(2R,4S)-2,4-Diaminopentanoate + H2O + NAD+ <=> 2-Amino-4-oxopentanoic acid + Ammonia + NADH + H+||1 keggC:C03943@IN + 1 keggC:C00001@IN + 1 keggC:C00003@IN <=> 1 keggC:C03341@IN + 1 keggC:C00014@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	seed(2),rhea(4),ec(2)
R04201	MNXR148601	1.4.1.12		rxn02931|rxn35674		24192|24193|24194|24195	D-threo-2,4-diaminopentanoate:NADP+ oxidoreductase(deaminating)||(2R,4S)-2,4-Diaminopentanoate + NADP+ + H2O <=> 2-Amino-4-oxopentanoic acid + NADPH + Ammonia + H+||1 keggC:C03943@IN + 1 keggC:C00006@IN + 1 keggC:C00001@IN <=> 1 keggC:C03341@IN + 1 keggC:C00005@IN + 1 keggC:C00014@IN + 1 keggC:C00080@IN	seed(2),rhea(4)
R04202	MNXR108731	3.1.1.60		rxn02932	BIS2-ETHYLHEXYLPHTHALATE-ESTERASE-RXN	15529|15530|15531|15532	bis(2-ethylhexyl)phthalate acylhydrolase||Bis(2-ethylhexyl)phthalate + H2O <=> Mono-(2-ethylhexyl)phthalate + 2-Ethylhexan-1-ol||1 keggC:C03690@IN + 1 keggC:C00001@IN <=> 1 keggC:C03343@IN + 1 keggC:C02498@IN	rhea(4)
R04203	MNXR188214	1.1.1.178|1.1.1.35	HACD9|HACD9m|R_HACD9|R_HACD9m	rxn02933|rxn31839|rxn35545	1.1.1.178-RXN	13281|13282|13283|13284	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase||(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA + NAD+ <=> 2-Methylacetoacetyl-CoA + NADH + H+||1 keggC:C04405@IN + 1 keggC:C00003@IN <=> 1 keggC:C03344@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	bigg(4),seed(3),rhea(4),ec(2)
R04204	MNXR198620	4.2.1.150|4.2.1.17	ECOAH9ir|ECOAH9m|R_ECOAH9ir|R_ECOAH9m	rxn02934|rxn27332|rxn31091|rxn31755|rxn37861	TIGLYLCOA-HYDROXY-RXN	31119|31120|31121|31122	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA hydro-liase||(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA <=> 2-Methylbut-2-enoyl-CoA + H2O||1 keggC:C04405@IN <=> 1 keggC:C03345@IN + 1 keggC:C00001@IN	bigg(4),seed(5),rhea(4),ec(2)
R04205	MNXR195755	2.3.1.93					(E)-2-methylcrotonoyl-CoA :13-hydroxylupinine O-2-methylcrotonoyltransferase||2-Methylbut-2-enoyl-CoA + 13-Hydroxylupanine <=> CoA + 13-(2-Methylcrotonoyl)oxylupanine||1 keggC:C03345@IN + 1 keggC:C02621@IN <=> 1 keggC:C00010@IN + 1 keggC:C04170@IN	
R04206	MNXR108733	4.2.1.11		rxn02936			3-phospho-D-erythronate hydro-lyase||3-Phospho-D-erythronate <=> Phosphoenol-4-deoxy-3-tetrulosonate + H2O||1 keggC:C03356@IN <=> 1 keggC:C04309@IN + 1 keggC:C00001@IN	
R04208	MNXR108734	6.3.3.1	PRAIS|PRAIS_1|PRFGCL|PRFGCLh|R_PRAIS|R_PRAIS_1|R_PRFGCL|R_PRFGCLh	rxn02937|rxn27693|rxn32851	AIRS-RXN	23032|23033|23034|23035	2-(formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)||ATP + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine <=> ADP + Orthophosphate + Aminoimidazole ribotide||1 keggC:C00002@IN + 1 keggC:C04640@IN <=> 1 keggC:C00008@IN + 1 keggC:C00009@IN + 1 keggC:C03373@IN	bigg(8),seed(3),rhea(4)
R04209	MNXR108735	4.1.1.21|5.4.99.18	AIRCr|PRAIC|PRAICh|R_AIRCr|R_PRAIC|R_PRAICh	rxn02938|rxn33097|rxn38026	AIRCARBOXY-RXN	10792|10793|10794|10795	1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase||1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate <=> Aminoimidazole ribotide + CO2||1 keggC:C04751@IN <=> 1 keggC:C03373@IN + 1 keggC:C00011@IN	bigg(6),seed(3),rhea(4),ec(2)
R04210	MNXR102495	1.1.1.290	PERD|R_PERD	rxn02939	ERYTHRON4PDEHYDROG-RXN	18829|18830|18831|18832	4-phospho-D-erythronate:NAD+ 2-oxidoreductase||4-Phospho-D-erythronate + NAD+ <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + NADH + H+||1 keggC:C03393@IN + 1 keggC:C00003@IN <=> 1 keggC:C06054@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	bigg(2),rhea(4)
R04211	MNXR108736	2.3.1.58		rxn02940	2.3.1.58-RXN	13465|13466|13467|13468	oxalyl-CoA:L-2,3-diaminopropanoate N3-oxalyltransferase||Oxalyl-CoA + L-2,3-Diaminopropanoate <=> CoA + 3-(Carboxycarbonylamino)-L-alanine||1 keggC:C00313@IN + 1 keggC:C03401@IN <=> 1 keggC:C00010@IN + 1 keggC:C04209@IN	rhea(4)
R04212	MNXR153024	6.3.5.6	ASNTRAT|R_ASNTRAT				Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)||L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP + H2O||1 keggC:C03402@IN + 1 keggC:C00025@IN + 1 keggC:C00009@IN + 1 keggC:C00008@IN <=> 1 keggC:C06113@IN + 1 keggC:C00064@IN + 1 keggC:C00002@IN + 1 keggC:C00001@IN	ec_fallback(participants>=0.50,bigg:2)
R04213	MNXR108737	2.8.2.9		rxn02941	TYROSINE-ESTER-SULFOTRANSFERASE-RXN	19977|19978|19979|19980	3'-phosphoadenylylsulfate:L-tyrosine-methyl-ester sulfotransferase||3'-Phosphoadenylyl sulfate + L-Tyrosine methyl ester <=> Adenosine 3',5'-bisphosphate + L-Tyrosine methyl ester 4-sulfate||1 keggC:C00053@IN + 1 keggC:C03404@IN <=> 1 keggC:C00054@IN + 1 keggC:C04201@IN	rhea(4)
R04214	MNXR197362	3.5.2.-					N-Formimino-L-aspartate <=> 4-Imidazolone-5-acetate + H2O||1 keggC:C03409@IN <=> 1 keggC:C05133@IN + 1 keggC:C00001@IN	
R04215	MNXR146795	2.7.7.43	R_r0668|r0668	rxn02943			CTP:N-glycoloylneuraminate cytidylyltransferase||CTP + N-Glycoloyl-neuraminate <=> Diphosphate + CMP-N-glycoloylneuraminate||1 keggC:C00063@IN + 1 keggC:C03410@IN <=> 1 keggC:C00013@IN + 1 keggC:C03691@IN	bigg(2)
R04216	MNXR148603	2.4.99.18					dolichyl-diphosphooligosaccharide:protein-L-asparagine oligopolysaccharidotransferase||Dolichyl diphosphooligosaccharide + Protein asparagine <=> Dolichyl diphosphate + Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine||1 keggC:C04213@IN + 1 keggC:C03021@IN <=> 1 keggC:C00621@IN + 1 keggC:C11572@IN	
R04217	MNXR104477	2.6.1.13|2.6.1.81	R_SOTA|SOTA	rxn02944|rxn29001|rxn32497|rxn33174	SUCCORNTRANSAM-RXN	16953|16954|16955|16956	N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase||N2-Succinyl-L-ornithine + 2-Oxoglutarate <=> N-Succinyl-L-glutamate 5-semialdehyde + L-Glutamate||1 keggC:C03415@IN + 1 keggC:C00026@IN <=> 1 keggC:C05932@IN + 1 keggC:C00025@IN	bigg(2),seed(4),rhea(4),ec(2)
R04218	MNXR148605	2.5.1.32				34479|34480|34481|34482	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase||Prephytoene diphosphate <=> Diphosphate + 15-cis-Phytoene||1 keggC:C03427@IN <=> 1 keggC:C00013@IN + 1 keggC:C05421@IN	rhea(4)
R04221	MNXR108742	1.4.3.3		rxn02946			cis-4-hydroxy-D-proline:oxygen oxidoreductase (deaminating)||cis-4-Hydroxy-D-proline + Oxygen <=> 1-Pyrroline-4-hydroxy-2-carboxylate + Hydrogen peroxide||1 keggC:C03440@IN + 1 keggC:C00007@IN <=> 1 keggC:C04282@IN + 1 keggC:C00027@IN	
