kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R11667	MNXR163425						Pyrrolyl-2-carboxyl-S-[acyl-carrier protein] + Malonyl-CoA + L-Serine <=> 4-Hydroxy-2,2'-bipyrrole-5-methanol + CoA + Acyl-carrier protein + 2 CO2 + H2O||1 keggC:C21567@IN + 1 keggC:C00083@IN + 1 keggC:C00065@IN <=> 1 keggC:C21568@IN + 1 keggC:C00010@IN + 1 keggC:C00229@IN + 2 keggC:C00011@IN + 1 keggC:C00001@IN	
R11668	MNXR163426						4-hydroxy-2,2'-bipyrrole-5-methanal:NADP+ oxidoreductase||4-Hydroxy-2,2'-bipyrrole-5-methanol + NADP+ <=> 4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde + NADPH + H+||1 keggC:C21568@IN + 1 keggC:C00006@IN <=> 1 keggC:C21569@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	
R11669	MNXR163427						4-hydroxy-2,2'-bipyrrole-5-methanal:NAD+ oxidoreductase||4-Hydroxy-2,2'-bipyrrole-5-methanol + NAD+ <=> 4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde + NADH + H+||1 keggC:C21568@IN + 1 keggC:C00003@IN <=> 1 keggC:C21569@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	
R11670	MNXR119618	2.1.1|2.1.1.-	3MHISc|HCYSMT|HMR_4701|MHPGLUT2|OMP|R_3MHISc|R_HCYSMT|R_HMR_4701|R_MHPGLUT2|R_OMP	rxn41254	RXN-15786		S-adenosyl-L-methionine:4-hydroxy-2,2'-bipyrrole-5-carbaldehyde 4-O-methyltransferase||4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde + S-Adenosyl-L-methionine <=> 4-Methoxy-2,2'-bipyrrole-5-carbaldehyde + S-Adenosyl-L-homocysteine||1 keggC:C21569@IN + 1 keggC:C00019@IN <=> 1 keggC:C21570@IN + 1 keggC:C00021@IN	ec(2),ec_fallback(participants>=0.50,bigg:10)
R11671	MNXR163428						Malonyl-CoA + Acetyl-CoA <=> Dodecanoyl-[acyl-carrier protein]||1 keggC:C00083@IN + 1 keggC:C00024@IN <=> 1 keggC:C05223@IN	
R11672	MNXR163429	2.6.1.-					(S)-3-Acetyloctanal + Amino acid <=> 2-Methyl-3-n-amyl-dihydropyrrole + 2-Oxo acid||1 keggC:C21139@IN + 1 keggC:C00045@IN <=> 1 keggC:C21571@IN + 1 keggC:C00161@IN	
R11673	MNXR163430						4-Methoxy-2,2'-bipyrrole-5-carbaldehyde + 2-Undecylpyrrole + ATP <=> Undecylprodigiosin + ADP + Orthophosphate||1 keggC:C21570@IN + 1 keggC:C21574@IN + 1 keggC:C00002@IN <=> 1 keggC:C12023@IN + 1 keggC:C00008@IN + 1 keggC:C00009@IN	
R11674	MNXR120305	1.3.1.108			RXN-16702		3-(3,4-dihydroxyphenyl)propanoyl-CoA:NAD+,ferredoxin oxidoreductase||Dihydrocaffeoyl-CoA + 2 NAD+ + 2 Reduced ferredoxin <=> Caffeoyl-CoA + 2 NADH + 2 Oxidized ferredoxin||1 keggC:C21175@IN + 2 keggC:C00003@IN + 2 keggC:C00138@IN <=> 1 keggC:C00323@IN + 2 keggC:C00004@IN + 2 keggC:C00139@IN	
R11675	MNXR120420	1.3.1.109			RXN-16834		butanoyl-CoA:NAD+, ferredoxin oxidoreductase||Butanoyl-CoA + 2 NAD+ + 2 Reduced ferredoxin <=> Crotonoyl-CoA + 2 NADH + 2 Oxidized ferredoxin||1 keggC:C00136@IN + 2 keggC:C00003@IN + 2 keggC:C00138@IN <=> 1 keggC:C00877@IN + 2 keggC:C00004@IN + 2 keggC:C00139@IN	
R11676	MNXR191648	1.1.1.436					lactate:NAD+,ferredoxin oxidoreductase||Lactate + 2 NAD+ + 2 Reduced ferredoxin <=> Pyruvate + 2 NADH + 2 Oxidized ferredoxin||1 keggC:C01432@IN + 2 keggC:C00003@IN + 2 keggC:C00138@IN <=> 1 keggC:C00022@IN + 2 keggC:C00004@IN + 2 keggC:C00139@IN	
R11677	MNXR163431	1.2.1.97				47932|47933|47934|47935	(2S)-3-sulfolactaldehyde:NAD+ oxidoreductase||(2S)-3-Sulfolactaldehyde + NAD+ + H2O <=> (S)-3-Sulfolactate + NADH + H+||1 keggC:C21181@IN + 1 keggC:C00003@IN + 1 keggC:C00001@IN <=> 1 keggC:C11499@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	rhea(4)
R11678	MNXR169119	1.2.1.97				47928|47929|47930|47931	(2S)-3-sulfolactaldehyde:NADP+ oxidoreductase||(2S)-3-Sulfolactaldehyde + NADP+ + H2O <=> (S)-3-Sulfolactate + NADPH + H+||1 keggC:C21181@IN + 1 keggC:C00006@IN + 1 keggC:C00001@IN <=> 1 keggC:C11499@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	rhea(4)
R11679	MNXR152720	1.2.1.95|1.2.1.z	AASAD1|R_AASAD1	rxn09638|rxn41952	RXN-16756	46936|46937|46938|46939	(S)-2-amino-6-oxohexanoate:NADP+ oxidoreductase (ATP-forming)||L-2-Aminoadipate 6-semialdehyde + NADP+ + AMP + Diphosphate <=> L-2-Aminoadipate + NADPH + H+ + ATP||1 keggC:C04076@IN + 1 keggC:C00006@IN + 1 keggC:C00020@IN + 1 keggC:C00013@IN <=> 1 keggC:C00956@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN + 1 keggC:C00002@IN	bigg(2),seed(2),rhea(4),ec(2)
R11680	MNXR163432	3.1.3.-	ACP1_FMN|ACP1e|ACP1p|FMNACP_h|R_ACP1_FMN|R_ACP1e|R_ACP1p|R_FMNACP_h				1-Phosphatidyl-1D-myo-inositol 4-phosphate + H2O <=> 1-Phosphatidyl-D-myo-inositol + Orthophosphate||1 keggC:C01277@IN + 1 keggC:C00001@IN <=> 1 keggC:C01194@IN + 1 keggC:C00009@IN	ec_fallback(participants>=0.50,bigg:8)
R11681	MNXR118301	2.1.1|2.1.1.-	3MHISc|HCYSMT|HMR_4701|MHPGLUT2|OMP|R_3MHISc|R_HCYSMT|R_HMR_4701|R_MHPGLUT2|R_OMP	rxn46493	RXN-13790	80663|80664|80665|80666	S-adenosyl-L-methionine:deacetylisoipecoside 6-O-methyltransferase||Deacetylisoipecoside + S-Adenosyl-L-methionine <=> 6-O-Methyldeacetylisoipecoside + S-Adenosyl-L-homocysteine||1 keggC:C07304@IN + 1 keggC:C00019@IN <=> 1 keggC:C21566@IN + 1 keggC:C00021@IN	rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:10)
R11682	MNXR118302	3.2.1.220		rxn44154	RXN-13791	78891|78892|78893|78894	6-O-methyldeacetylisoipecoside:beta-glucosidase||6-O-Methyldeacetylisoipecoside + H2O <=> D-Glucose + 6-O-Methyl-N-deacetylisoipecoside aglycon||1 keggC:C21566@IN + 1 keggC:C00001@IN <=> 1 keggC:C00031@IN + 1 keggC:C21583@IN	rhea(4)
R11683	MNXR163433						6-O-Methyl-N-deacetylisoipecoside aglycon <=> Protoemetine||1 keggC:C21583@IN <=> 1 keggC:C11816@IN	
R11684	MNXR191567						Protoemetine + Dopamine <=> 7'-O-Dmethylcephaeline + H2O||1 keggC:C11816@IN + 1 keggC:C03758@IN <=> 1 keggC:C21584@IN + 1 keggC:C00001@IN	
R11685	MNXR118306	2.1.1|2.1.1.-|2.1.1.395	3MHISc|HCYSMT|HMR_4701|MHPGLUT2|OMP|R_3MHISc|R_HCYSMT|R_HMR_4701|R_MHPGLUT2|R_OMP	rxn45747	RXN-13795	80555|80556|80557|80558	S-adenosyl-L-methionine:7'-O-demethylcephaeline 7'-O-methyltransferase||7'-O-Dmethylcephaeline + S-Adenosyl-L-methionine <=> Cephaeline + S-Adenosyl-L-homocysteine||1 keggC:C21584@IN + 1 keggC:C00019@IN <=> 1 keggC:C09390@IN + 1 keggC:C00021@IN	rhea(4),ec(3),ec_fallback(participants>=0.50,bigg:10)
R11686	MNXR118307	2.1.1|2.1.1.-|2.1.1.396	3MHISc|HCYSMT|HMR_4701|MHPGLUT2|OMP|R_3MHISc|R_HCYSMT|R_HMR_4701|R_MHPGLUT2|R_OMP	rxn40613	RXN-13796	80659|80660|80661|80662	S-adenosyl-L-methionine:cephaeline O-methyltransferase||Cephaeline + S-Adenosyl-L-methionine <=> Emetine + S-Adenosyl-L-homocysteine||1 keggC:C09390@IN + 1 keggC:C00019@IN <=> 1 keggC:C09421@IN + 1 keggC:C00021@IN	rhea(4),ec(3),ec_fallback(participants>=0.50,bigg:10)
R11687	MNXR163435	1.14.14.166					(S)-N-methylcanadine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (1-hydroxylating)||(S)-cis-N-Methylcanadine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (S)-1-Hydroxy-cis-N-methylcanadine + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C02915@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C21586@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
R11688	MNXR163436	1.14.14.163					(S)-1-hydroxy-N-methylcanadine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (13-hydroxylating)||(S)-1-Hydroxy-cis-N-methylcanadine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (13S,14R)-1,13-Dihydroxy-cis-N-methylcanadine + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C21586@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C21587@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
R11689	MNXR170915	2.3.1.285|2.3.1.df		rxn43677	RXN-19905	57384|57385|57386|57387	acetyl-CoA:(13S,14R)-1,13-dihydroxy-N-methylcanadine O-acetyltransferase||(13S,14R)-1,13-Dihydroxy-cis-N-methylcanadine + Acetyl-CoA <=> (13S,14R)-13-O-Acetyl-1-hydroxy-cis-N-methylcanadine + CoA||1 keggC:C21587@IN + 1 keggC:C00024@IN <=> 1 keggC:C21588@IN + 1 keggC:C00010@IN	rhea(4),ec(2)
R11690	MNXR163437	1.14.14.167					(13S,14R)-13-O-acetyl-1-hydroxy-N-methylcanadine 8-hydroxylase,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating)||(13S,14R)-13-O-Acetyl-1-hydroxy-cis-N-methylcanadine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (13S,14R)-13-O-Acetyl-1,8-dihydroxy-cis-N-methylcanadine + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C21588@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C21589@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
R11691	MNXR118317			rxn44387	RXN-13809	57392|57393|57394|57395	(13S,14R)-13-O-Acetyl-1,8-dihydroxy-cis-N-methylcanadine <=> 4'-O-Desmethyl-3-O-acetylpapaveroxine + H+||1 keggC:C21589@IN <=> 1 keggC:C21590@IN + 1 keggC:C00080@IN	rhea(4)
R11692	MNXR196741	2.1.1.352|2.1.1.gs		rxn44181	RXN-13810		S-adenosyl-L-methionine:3-O-acetyl-4'-O-demethylpapaveroxine 4'-O-methyltransferase||4'-O-Desmethyl-3-O-acetylpapaveroxine + S-Adenosyl-L-methionine <=> 3-O-Acetylpapaveroxine + S-Adenosyl-L-homocysteine||1 keggC:C21590@IN + 1 keggC:C00019@IN <=> 1 keggC:C21591@IN + 1 keggC:C00021@IN	ec(2)
R11693	MNXR163438	3.1.1.105					3-O-acetylpapaveroxine acetatehydrolase||3-O-Acetylpapaveroxine + H2O <=> Papaveroxine + Acetate||1 keggC:C21591@IN + 1 keggC:C00001@IN <=> 1 keggC:C20299@IN + 1 keggC:C00033@IN	
R11694	MNXR163439	3.1.1.105					4'-O-desmethyl-3-O-acetylpapaveroxine acetatehydrolase||4'-O-Desmethyl-3-O-acetylpapaveroxine + H2O <=> 4'-O-Desmethylpapaveroxine + Acetate||1 keggC:C21590@IN + 1 keggC:C00001@IN <=> 1 keggC:C21599@IN + 1 keggC:C00033@IN	
R11695	MNXR163440						4'-O-Desmethylpapaveroxine <=> Narcotoline hemiacetal||1 keggC:C21599@IN <=> 1 keggC:C21600@IN	
R11696	MNXR163441	1.1.1.415					narcotoline hemiacetal:NAD+ 1-oxidoreductase||Narcotoline hemiacetal + NAD+ <=> Narcotoline + NADH + H+||1 keggC:C21600@IN + 1 keggC:C00003@IN <=> 1 keggC:C09593@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	
R11697	MNXR121514	2.1.1.340		rxn46537	RXN-18224	52264|52265|52266|52267	S-adenosyl-L-methionine:3-(aminomethyl)indole N-methyltransferase (gramine-forming)||2 S-Adenosyl-L-methionine + 3-(Aminomethyl)indole <=> 2 S-Adenosyl-L-homocysteine + Gramine||2 keggC:C00019@IN + 1 keggC:C21601@IN <=> 2 keggC:C00021@IN + 1 keggC:C08304@IN	rhea(4)
R11698	MNXR122425	2.1.1.-|2.1.1.340	3MHISc|HMR_4701|MHPGLUT2|OMP|R_3MHISc|R_HMR_4701|R_MHPGLUT2|R_OMP	rxn25071	RXN-8686	52268|52269|52270|52271	S-adenosyl-L-methionine:3-(aminomethyl)indole N-methyltransferase||S-Adenosyl-L-methionine + 3-(Aminomethyl)indole <=> S-Adenosyl-L-homocysteine + (1H-Indol-3-yl)-N-methylmethanamine||1 keggC:C00019@IN + 1 keggC:C21601@IN <=> 1 keggC:C00021@IN + 1 keggC:C21602@IN	rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:8)
R11699	MNXR122426	2.1.1.-|2.1.1.340	3MHISc|HMR_4701|MHPGLUT2|OMP|R_3MHISc|R_HMR_4701|R_MHPGLUT2|R_OMP	rxn25072	RXN-8687	52272|52273|52274|52275	S-adenosyl-L-methionine:(1H-indol-3-yl)-N-methylmethanamine N-methyltransferase||S-Adenosyl-L-methionine + (1H-Indol-3-yl)-N-methylmethanamine <=> S-Adenosyl-L-homocysteine + Gramine||1 keggC:C00019@IN + 1 keggC:C21602@IN <=> 1 keggC:C00021@IN + 1 keggC:C08304@IN	rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:8)
R11700	MNXR163442	2.1.1.342					S-adenosyl-L-methionine:protoheme C-methyltransferase (anaerobilin-producing)||2 S-Adenosyl-L-methionine + Heme + 2 Reduced flavodoxin <=> S-Adenosyl-L-homocysteine + L-Methionine + 5'-Deoxyadenosine + Anaerobilin + Fe2+ + 2 Oxidized flavodoxin||2 keggC:C00019@IN + 1 keggC:C00032@IN + 2 keggC:C02745@IN <=> 1 keggC:C00021@IN + 1 keggC:C00073@IN + 1 keggC:C05198@IN + 1 keggC:C21603@IN + 1 keggC:C14818@IN + 2 keggC:C02869@IN	
R11701	MNXR166825	2.3.1.264		rxn44215	RXN-18530	33019|33020|33021|33022	acetyl-CoA:(3S)-3,6-diaminohexanoate N6-acetyltransferase||Acetyl-CoA + (3S)-3,6-Diaminohexanoate <=> CoA + (3S)-6-Acetamido-3-aminohexanoate||1 keggC:C00024@IN + 1 keggC:C01142@IN <=> 1 keggC:C00010@IN + 1 keggC:C21604@IN	rhea(4)
R11702	MNXR163443	2.4.1.345					GDP-alpha-D-mannose:1-phosphatidyl-1D-myo-inositol 2-alpha-D-mannosyltransferase (configuration-retaining)||GDP-mannose + 1-Phosphatidyl-D-myo-inositol <=> GDP + 2-O-(alpha-D-Mannosyl)-1-phosphatidyl-1D-myo-inositol||1 keggC:C00096@IN + 1 keggC:C01194@IN <=> 1 keggC:C00035@IN + 1 keggC:C21606@IN	
R11703	MNXR163444	2.4.1.346					GDP-alpha-D-mannose:2-O-alpha-D-mannosyl-1-phosphatidyl-1D-myo-inositol 6-alpha-D-mannosyltransferase (configuration-retaining)||GDP-mannose + 2-O-(alpha-D-Mannosyl)-1-phosphatidyl-1D-myo-inositol <=> GDP + 2,6-Di-O-alpha-D-mannosyl-1-phosphatidyl-1D-myo-inositol||1 keggC:C00096@IN + 1 keggC:C21606@IN <=> 1 keggC:C00035@IN + 1 keggC:C21607@IN	
R11704	MNXR163445	2.4.1.346					GDP-alpha-D-mannose:2-O-(6-O-acyl-alpha-D-mannosyl)-1-phosphatidyl-1D-myo-inositol 6-alpha-D-mannosyltransferase (configuration-retaining)||GDP-mannose + 2-O-(6-O-Acyl-alpha-D-mannosyl)-1-phosphatidyl-1D-myo-inositol <=> GDP + 2-O-(6-O-Acyl-alpha-D-mannosyl)-6-O-alpha-D-mannosyl-1-phosphatidyl-1D-myo-inositol||1 keggC:C00096@IN + 1 keggC:C21609@IN <=> 1 keggC:C00035@IN + 1 keggC:C21608@IN	
R11705	MNXR169853	2.5.1.140		rxn46252	RXN-18395	52384|52385|52386|52387	O-phospho-L-serine:L-glutamate N-(2S)-2-amino-2-carboxyethyltransferase||O-Phospho-L-serine + L-Glutamate <=> N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate + Orthophosphate||1 keggC:C01005@IN + 1 keggC:C00025@IN <=> 1 keggC:C21559@IN + 1 keggC:C00009@IN	rhea(4)
R11706	MNXR169887	2.7.1.217		rxn46865	RXN-18595	52552|52553|52554|52555	ATP:3-dehydro-L-erythronate 4-phosphotransferase||ATP + 3-Dehydro-L-erythronate <=> ADP + 3-Dehydro-4-phospho-L-erythronate||1 keggC:C00002@IN + 1 keggC:C21612@IN <=> 1 keggC:C00008@IN + 1 keggC:C21611@IN	rhea(4)
R11707	MNXR169888	2.7.1.217		rxn44182	RXN-18594	52556|52557|52558|52559	ATP:3-dehydro-D-erythronate 4-phosphotransferase||ATP + 3-Dehydro-L-threonate <=> ADP + 3-Dehydro-4-phospho-D-erythronate||ATP:3-dehydro-L-threonate 4-phosphotransferase||1 keggC:C00002@IN + 1 keggC:C03064@IN <=> 1 keggC:C00008@IN + 1 keggC:C21610@IN	rhea(4)
R11708	MNXR196841	2.3.3.19				52144|52145|52146|52147	acetyl-CoA:3-phosphonopyruvate C-acetyltransferase||Acetyl-CoA + H2O + 3-Phosphonopyruvate <=> (R)-2-(Phosphonomethyl)malate + CoA||1 keggC:C00024@IN + 1 keggC:C00001@IN + 1 keggC:C02798@IN <=> 1 keggC:C21613@IN + 1 keggC:C00010@IN	rhea(4)
R11709	MNXR163446	1.17.98.2					7-(Dihydroxymethyl)bacteriochlorophyllide c <=> Bacteriochlorophyllide e + H2O||1 keggC:C20650@IN <=> 1 keggC:C21582@IN + 1 keggC:C00001@IN	
R11710	MNXR163447	1.17.98.2					bacteriochlorophyllide-c:S-adenosyl-L-methionine oxidoreductase (C-7(1)-hydroxylating)||2 S-Adenosyl-L-methionine + Bacteriochlorophyllide c + H2O <=> Bacteriochlorophyllide e + 2 5'-Deoxyadenosine + 2 L-Methionine||2 keggC:C00019@IN + 1 keggC:C18161@IN + 1 keggC:C00001@IN <=> 1 keggC:C21582@IN + 2 keggC:C05198@IN + 2 keggC:C00073@IN	
R11711	MNXR163448	1.14.14.47					L-arginine,reduced-flavodoxin:oxygen oxidoreductase (nitric-oxide-forming)||2 L-Arginine + 3 Reduced flavodoxin + 4 Oxygen <=> 2 L-Citrulline + 2 Nitric oxide + 3 Oxidized flavodoxin + 4 H2O||2 keggC:C00062@IN + 3 keggC:C02745@IN + 4 keggC:C00007@IN <=> 2 keggC:C00327@IN + 2 keggC:C00533@IN + 3 keggC:C02869@IN + 4 keggC:C00001@IN	
R11712	MNXR163449	1.14.14.47					2 L-Arginine + 2 Reduced flavodoxin + 2 Oxygen <=> 2 N(omega)-Hydroxyarginine + 2 Oxidized flavodoxin + 2 H2O||2 keggC:C00062@IN + 2 keggC:C02745@IN + 2 keggC:C00007@IN <=> 2 keggC:C05933@IN + 2 keggC:C02869@IN + 2 keggC:C00001@IN	
R11713	MNXR163450	1.14.14.47					2 N(omega)-Hydroxyarginine + Reduced flavodoxin + 2 Oxygen <=> 2 L-Citrulline + 2 Nitric oxide + Oxidized flavodoxin + 2 H2O||2 keggC:C05933@IN + 1 keggC:C02745@IN + 2 keggC:C00007@IN <=> 2 keggC:C00327@IN + 2 keggC:C00533@IN + 1 keggC:C02869@IN + 2 keggC:C00001@IN	
R11714	MNXR163451	2.4.1.86	B3GALTg_cho|R_B3GALTg_cho				UDP-alpha-D-galactose:N-acetyl-beta-D-glucosaminyl-R 3-beta-D-galactosyltransferase||UDP-alpha-D-galactose + N-Acetyl-beta-D-glucosaminide <=> UDP + 1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R||1 keggC:C00052@IN + 1 keggC:C03518@IN <=> 1 keggC:C00015@IN + 1 keggC:C04656@IN	ec_fallback(participants>=0.50,bigg:2)
R11715	MNXR163452	2.4.3.2	R_ST6GALNAC27_cho|ST6GALNAC27_cho				CMP-N-acetyl-beta-neuraminate:a beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-R alpha-(2->3)-N-acetylneuraminyltransferase (configuration-inverting)||CMP-N-acetylneuraminate + beta-D-Galactosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-R <=> CMP + N-Acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-R||1 keggC:C00128@IN + 1 keggC:C16177@IN <=> 1 keggC:C00055@IN + 1 keggC:C15939@IN	ec_fallback(participants>=0.50,bigg:2)
R11716	MNXR169858	4.1.1.104		rxn43321	RXN-18588	52404|52405|52406|52407	3-dehydro-4-phospho-L-erythronate carboxy-lyase||3-Dehydro-4-phospho-L-erythronate <=> Glycerone phosphate + CO2||1 keggC:C21611@IN <=> 1 keggC:C00111@IN + 1 keggC:C00011@IN	rhea(4)
R11717	MNXR169861	4.1.1.104		rxn41039	RXN-18589	52416|52417|52418|52419	3-dehydro-4-phospho-D-erythronate carboxy-lyase||3-Dehydro-4-phospho-D-erythronate <=> Glycerone phosphate + CO2||1 keggC:C21610@IN <=> 1 keggC:C00111@IN + 1 keggC:C00011@IN	rhea(4)
R11718	MNXR198358	4.1.2.59			RXN-18378	51016|51017|51018|51019	7,8-dihydroneopterin-3'-phosphate glycolaldehyde-phosphate-lyase [6-(hydroxymethyl)-7,8-dihydropterin-forming]||Dihydroneopterin phosphate <=> 6-(Hydroxymethyl)-7,8-dihydropterin + Glycolaldehyde phosphate||1 keggC:C05925@IN <=> 1 keggC:C01300@IN + 1 keggC:C21614@IN	rhea(4)
R11719	MNXR198360	4.1.2.60			RXN-18377	52772|52773|52774|52775	7,8-dihydroneopterin-3'-triphosphate glycolaldehyde-phosphate-lyase [6-(hydroxymethyl)-7,8-dihydropterin-forming]||7,8-Dihydroneopterin 3'-triphosphate <=> 6-(Hydroxymethyl)-7,8-dihydropterin + Glycolaldehyde triphosphate||1 keggC:C04895@IN <=> 1 keggC:C01300@IN + 1 keggC:C21615@IN	rhea(4)
R11720	MNXR99654	5.1.3.41	FRULYSE|R_FRULYSE	rxn08531	RXN0-4841	28390|28391|28392|28393	fructoselysine 3-epimerase||Fructoselysine <=> Psicoselysine||1 keggC:C16488@IN <=> 1 keggC:C21616@IN	bigg(2),rhea(4)
R11721	MNXR163453	5.3.1.35					2-dehydro-L-erythronate isomerase||2-Dehydro-L-erythronate <=> 3-Dehydro-L-erythronate||1 keggC:C21618@IN <=> 1 keggC:C21612@IN	
R11722	MNXR163454	5.3.1.35					2-dehydro-D-erythronate isomerase||2-Dehydro-D-erythronate <=> 3-Dehydro-L-threonate||1 keggC:C21617@IN <=> 1 keggC:C03064@IN	
R11723	MNXR191708	6.3.2.50			RXN-18314		L-isoleucine:acetoacetyl-CoA ligase (tenuazonic acid-forming)||ATP + L-Isoleucine + Acetoacetyl-CoA <=> AMP + Diphosphate + Tenuazonic acid + CoA||1 keggC:C00002@IN + 1 keggC:C00407@IN + 1 keggC:C00332@IN <=> 1 keggC:C00020@IN + 1 keggC:C00013@IN + 1 keggC:C08511@IN + 1 keggC:C00010@IN	
R11724	MNXR169856	1.1.1.408		rxn41534	RXN-18600	52396|52397|52398|52399	4-phospho-D-threonate:NAD+ 3-oxidoreductase||4-Phospho-D-threonate + NAD+ <=> Glycerone phosphate + NADH + CO2 + H+||1 keggC:C21585@IN + 1 keggC:C00003@IN <=> 1 keggC:C00111@IN + 1 keggC:C00004@IN + 1 keggC:C00011@IN + 1 keggC:C00080@IN	rhea(4)
R11726	MNXR169859	1.1.1.409		rxn44828	RXN-18601	52408|52409|52410|52411	4-phospho-D-erythronate:NAD+ 3-oxidoreductase||4-Phospho-D-erythronate + NAD+ <=> Glycerone phosphate + CO2 + NADH + H+||1 keggC:C03393@IN + 1 keggC:C00003@IN <=> 1 keggC:C00111@IN + 1 keggC:C00011@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	rhea(4)
R11730	MNXR196823	1.14.13.235			RXN-14711	41211|41212|41213|41214	(indol-3-yl)acetate,NADH:oxygen oxidoreductase (2-hydroxylating)||Indole-3-acetate + NADH + H+ + Oxygen <=> (2-Hydroxy-1H-indol-3-yl)acetate + NAD+ + H2O||1 keggC:C00954@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN + 1 keggC:C00007@IN <=> 1 keggC:C21619@IN + 1 keggC:C00003@IN + 1 keggC:C00001@IN	rhea(4)
R11731	MNXR163455	2.1.1.-	3MHISc|HMR_4701|MHPGLUT2|OMP|R_3MHISc|R_HMR_4701|R_MHPGLUT2|R_OMP				S-adenosyl-L-methionine:(S)-norreticuline 7-O-methyltransferase||(S)-Norreticuline + S-Adenosyl-L-methionine <=> (S)-Norlaudanine + S-Adenosyl-L-homocysteine||1 keggC:C06520@IN + 1 keggC:C00019@IN <=> 1 keggC:C21630@IN + 1 keggC:C00021@IN	ec_fallback(participants>=0.50,bigg:8)
R11732	MNXR163456	1.14.14.44					(E)-phenylacetaldehyde oxime,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase||(E)-Phenylacetaldoxime + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Mandelonitrile + [Oxidized NADPH---hemoprotein reductase] + 2 H2O||1 keggC:C19714@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C00561@IN + 1 keggC:C03161@IN + 2 keggC:C00001@IN	
R11733	MNXR163457	1.14.14.44|1.14.14.77					phenylacetonitrile,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase [(R)-mandelonitrile-forming]||Phenylacetonitrile + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Mandelonitrile + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C16074@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C00561@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	ec(2)
R11734	MNXR163458	1.14.14.45					(E)-indol-3-ylacetaldoxime,[reduced NADPH---hemoprotein reductase],glutathione:oxygen oxidoreductase (oxime-hydroxylating)||Indole-3-acetaldehyde oxime + [Reduced NADPH---hemoprotein reductase] + Glutathione + Oxygen <=> S-[(E)-N-Hydroxy(indol-3-yl)acetimidoyl]-L-glutathione + [Oxidized NADPH---hemoprotein reductase] + 2 H2O||1 keggC:C02937@IN + 1 keggC:C03024@IN + 1 keggC:C00051@IN + 1 keggC:C00007@IN <=> 1 keggC:C21620@IN + 1 keggC:C03161@IN + 2 keggC:C00001@IN	
R11735	MNXR163459	1.14.14.45					Indole-3-acetaldehyde oxime + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Indole-3-acetaldoxime N-oxide + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C02937@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C17204@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
